"tract","Name","Incarceration_Rate_rP_gP_p25"
6037195903,"Silver Lake, Los Angeles, CA",0.0138
6037197700,"Echo Park, Los Angeles, CA",0.0138
6037199400,"Mount Washington, Los Angeles, CA",0.0138
6037533402,"Maywood, CA",0.0137
6037228420,"South Los Angeles, Los Angeles, CA",0.0137
6037191201,"Central LA, Los Angeles, CA",0.0136
6037191203,"Central LA, Los Angeles, CA",0.0136
6037213402,"Central LA, Los Angeles, CA",0.0136
6037530102,"South Montebello, Montebello, CA",0.0136
6037551502,"Downey, CA",0.0135
6037186203,"Northeast Los Angeles, Los Angeles, CA",0.0135
6037228800,"Central Alameda, Los Angeles, CA",0.0135
6037482102,"Monterey Park, CA",0.0135
6037700101,"Central LA, West Hollywood, CA",0.0134
6037183620,"Northeast Los Angeles, Los Angeles, CA",0.0134
6037700400,"Central LA, West Hollywood, CA",0.0134
6037219020,"South Los Angeles, Los Angeles, CA",0.0134
6037262400,"Brentwood, Los Angeles, CA",0.0134
6037302504,"Mariposa, Glendale, CA",0.0133
6037530203,"South Montebello, Montebello, CA",0.0133
6037603703,"Hawthorne, CA",0.0133
6037533201,"Huntington Park, CA",0.0132
6037218120,"Central LA, Los Angeles, CA",0.0132
6037463102,"Pasadena, CA",0.0132
6037601802,"Inglewood, CA",0.0132
6037183401,"Northeast Los Angeles, Los Angeles, CA",0.0131
6037532500,"Huntington Park, CA",0.0131
6037237202,"South Los Angeles, Los Angeles, CA",0.0129
6037601501,"Inglewood, CA",0.0129
6037553100,"Bellflower, CA",0.0129
6037218500,"Central LA, Los Angeles, CA",0.0129
6037553701,"Paramount, CA",0.0129
6037602004,"Inglewood, CA",0.0128
6037533105,"Huntington Park, CA",0.0128
6037275500,"Culver City, CA",0.0128
6037209104,"Central LA, Los Angeles, CA",0.0128
6037536000,"South Gate, CA",0.0128
6037262303,"Brentwood, Los Angeles, CA",0.0127
6037480802,"Alhambra, CA",0.0127
6037234000,"Leimert Park, Los Angeles, CA",0.0127
6037534202,"South Montebello, Bell Gardens, CA",0.0126
6037262802,"Pacific Palisades, Santa Monica, CA",0.0126
6037183510,"Northeast Los Angeles, Los Angeles, CA",0.0126
6037141102,"Sherman Oaks, Los Angeles, CA",0.0126
6037540202,"Lynwood, CA",0.0125
6037530202,"South Montebello, Montebello, CA",0.0125
6037533702,"Maywood, CA",0.0125
6037481202,"San Gabriel, CA",0.0124
6037533503,"Huntington Park, CA",0.0124
6037186401,"Northeast Los Angeles, Los Angeles, CA",0.0124
6037239310,"South Los Angeles, Los Angeles, CA",0.0123
6037276500,"Westchester, Los Angeles, CA",0.0123
6037533701,"Maywood, CA",0.0122
6037269907,"Palms, Los Angeles, CA",0.0122
6037481606,"Alhambra, CA",0.0122
6037187102,"Atwater Village, Los Angeles, CA",0.0122
6037535802,"South Gate, CA",0.0121
6037534900,"South Los Angeles, Los Angeles, CA",0.0121
6037533601,"Bell, CA",0.0121
6037481800,"Alhambra, CA",0.0121
6037535702,"South Gate, CA",0.012
6037231600,"South Los Angeles, Los Angeles, CA",0.012
6037183220,"Northeast Los Angeles, Los Angeles, CA",0.012
6037550500,"Downey, CA",0.012
6037540502,"Lynwood, CA",0.0119
6037601100,"Inglewood, CA",0.0119
6037482201,"Monterey Park, CA",0.0119
6037534802,"Huntington Park, CA",0.0119
