"tract","Name","Household_Income_rP_gP_pall"
6037191201,"Central LA, Los Angeles, CA",36981
6037530204,"South Montebello, Montebello, CA",36976
6037302401,"Tropico, Glendale, CA",36914
6037502700,"Santa Fe Springs, CA",36911
6037186403,"Atwater Village, Los Angeles, CA",36884
6037212620,"Central LA, Los Angeles, CA",36862
6037534502,"Huntington Park, CA",36854
6037183220,"Northeast Los Angeles, Los Angeles, CA",36846
6037535606,"South Gate, CA",36806
6037203500,"Boyle Heights, Los Angeles, CA",36754
6037199000,"Northeast Los Angeles, Los Angeles, CA",36719
6037191203,"Central LA, Los Angeles, CA",36707
6037191620,"Central LA, Los Angeles, CA",36699
6037195802,"Central LA, Los Angeles, CA",36686
6037535702,"South Gate, CA",36679
6037197500,"Echo Park, Los Angeles, CA",36661
6037191500,"Central LA, Los Angeles, CA",36659
6037197420,"Echo Park, Los Angeles, CA",36619
6037601402,"Inglewood, CA",36601
6037532303,"South Montebello, Commerce, CA",36594
6037602106,"Hawthorne, CA",36460
6037211121,"Central LA, Los Angeles, CA",36450
6037183221,"Northeast Los Angeles, Los Angeles, CA",36438
6037535604,"South Gate, CA",36419
6037201501,"Northeast Los Angeles, Los Angeles, CA",36364
6037211921,"Central LA, Los Angeles, CA",36275
6037553504,"Paramount, CA",36214
6037192620,"Central LA, Los Angeles, CA",36190
6037530602,"Los Angeles, CA",36159
6037601600,"Inglewood, CA",36136
6037190201,"Central LA, Los Angeles, CA",36122
6037183810,"Northeast Los Angeles, Los Angeles, CA",36119
6037215102,"Central LA, Los Angeles, CA",36107
6037216200,"Central LA, Los Angeles, CA",36105
6037531902,"South Montebello, East Los Angeles, CA",36044
6037185202,"Mount Washington, Los Angeles, CA",35988
6037540300,"Lynwood, CA",35946
6037206050,"Central LA, Los Angeles, CA",35921
6037701801,"Pico, Santa Monica, CA",35914
6037190401,"Central LA, Los Angeles, CA",35901
6037534406,"Cudahy, CA",35840
6037186301,"Atwater Village, Los Angeles, CA",35833
6037183510,"Northeast Los Angeles, Los Angeles, CA",35789
6037224700,"South Los Angeles, Los Angeles, CA",35767
6037201120,"Northeast Los Angeles, Los Angeles, CA",35766
6037275102,"Culver City, CA",35738
6037533804,"Bell, CA",35691
6037201401,"Northeast Los Angeles, Los Angeles, CA",35685
6037273700,"Venice, Los Angeles, CA",35625
6037183820,"Northeast Los Angeles, Los Angeles, CA",35618
6037535802,"South Gate, CA",35605
6037192520,"Central LA, Los Angeles, CA",35587
6037531504,"East Los Angeles, CA",35579
6037534203,"South Montebello, Bell Gardens, CA",35538
6037531800,"South Montebello, East Los Angeles, CA",35513
6037533902,"South Montebello, Bell Gardens, CA",35511
6037533601,"Bell, CA",35509
6037211922,"Central LA, Los Angeles, CA",35508
6037272201,"Mar Vista, Los Angeles, CA",35470
6037291130,"Harbor, Gardena, CA",35429
6037191301,"East Hollywood, Los Angeles, CA",35388
6037215101,"Central LA, Los Angeles, CA",35385
6037533501,"Huntington Park, CA",35326
6037535502,"South Gate, CA",35318
6037532102,"South Montebello, Montebello, CA",35272
6037533805,"Bell, CA",35271
6037532400,"Vernon, CA",35269
6037603001,"Gardena, CA",35265
6037269906,"Palms, Los Angeles, CA",35255
6037208802,"Central LA, Los Angeles, CA",35244
6037533401,"Maywood, CA",35217
6037185203,"Northeast Los Angeles, Los Angeles, CA",35214
6037531603,"East Los Angeles, CA",35205
6037204300,"Boyle Heights, Los Angeles, CA",35202
6037201301,"Montecito Heights, Los Angeles, CA",35171
6037190100,"Central LA, Los Angeles, CA",35123
6037530302,"South Montebello, East Los Angeles, CA",35114
6037533107,"Huntington Park, CA",35077
6037602103,"Hawthorne, CA",35069
6037221220,"Central LA, Los Angeles, CA",35059
6037201110,"Northeast Los Angeles, Los Angeles, CA",35029
